#{"t_start": 1743947451.1669285, "env_id": "PathColav3d-v0"}
r,l,t
-1002.758461,724,15.710131-2-198.211755,2419,85.35922-10-1084.898073,1317,116.016885--1092.751018,1117,152.-1034.---286.164453,2221,223.69869
-722.876216,2221,289.032009
-581.323883,2333,358.492725
-153.616979,2258,426.526635
-196.998508,2447,496.291649
-175.24617,2212,562.946577
-149.069578,2354,639.62801
-498.042609,2339,711.536456
-1002.268251,1566,761.93195
-273.778546,2436,833.516973
-163.722374,2399,903.717242
-268.65541,2430,972.620156
-1015.28846,771,993.267726
-341.520407,2299,1065.09074
-157.850278,2219,1131.106346
-305.851109,2341,1200.419566
-141.33333,2384,1266.376373
-154.189446,2291,1335.349813
-117.709666,2211,1397.474461
-157.208438,2211,1464.678081
-160.804917,2229,1528.338921
-126.929711,2293,1596.587473
-181.317205,2362,1665.212251
-153.202959,2303,1733.561455
-153.249315,2320,1800.352119
-192.158959,2307,1866.234356
-185.22758,2301,1931.718626
-216.931085,2255,1996.655415
-126.21764,2271,2061.253243
-112.511596,2322,2129.207819
-119.263488,2155,2190.720187
-127.384319,2226,2255.567185
-168.707154,2298,2320.078777
-207.924198,2398,2388.0098
-1004.24531,234,2393.788739
-281.070258,2342,2460.991984
-184.180684,2372,2529.706701
-98.565068,2144,2590.691637
-146.010257,2280,2656.909198
-127.005946,2218,2721.749241
-245.941622,2222,2785.80237
-158.694493,2359,2855.34286
-148.862607,2449,2928.393802
-125.100145,2348,2998.216486
-97.714222,2241,3063.465451
-1009.782599,223,3070.202384
-111.022609,2271,3144.371454
-1026.306807,1222,3187.326378--120.440622,2262,3259.133153-96.811306,2172,3320.748638
9
51.583027,2412,3276.716329
84102
-178.129357,2418,3207.059833
-119.814188,2244,3277.927595
