#{"t_start": 1743575631.7601662, "env_id": "PathColav3d-v0"}
r,l,t
-284.329734,2419,98.133421
-321.995197,2533,214.789808
-134.885746,2191,300.717816
-133.110931,2179,404.291137
-193.701764,2220,502.206063
-1036.94088,1372,563.602557
-212.322763,2344,667.032131
-311.68492,2492,790.100522
-1-273.488557,2232,822.208312--766.541179,2898,962.072147--144.271545,2273,1069.034837-2-387.733667,2203,1177.426575-1--118.641938,2231,1269.738522
-150.473997,2304,1385.747062
-204.609785,2381,1486.369807
-258.749823,2552,1557.257911--172.767521,2312,1662.509519--153.762342,2251,1763.498047--196.221886,2401,1877.207458-1-207.013929,2371,1979.51898-14-209.376384,2346,2078.79297-14-160.002425,2213,2187.75212-18-138.759392,2120,2290.12477-15-164.449974,2323,2404.48531-23-117.482587,2128,2505.53357-14-159.877532,2279,2613.08923-26-169.381144,2204,2713.90238-14-190.635042,2344,2829.11702-99-146.388097,2137,2922.5822-157-141.722336,2153,3022.1738-319-165.064356,2174,3120.979-1114-149.907167,2207,3230.028-160-251.033735,2523,3357.9001-167-284.99408,2731,3478.414912
-1085.039735,1020,3526.8908-139-184.97715,2197,3625.82876-13-128.36992,2239,3734.368594-1-227.306586,2201,3833.79680-22-171.391095,2246,3937.7169-139-178.135998,2342,4048.6386-207-917.035463,2533,4170.9644-154-1007.538385,2189,4273.808-150-145.319136,2153,4373.4581-195-251.304651,2294,4490.200-188.-475.829174,2266,4599.040-182-141.6298,2125,4690.305192-1-397.847828,2268,4791.267467-1-1054.897038,1475,4850.68620-13-153.742204,2297,4951.33460-11-170.69433,2256,5048.122414-182.920602,2292,5128.936472
-209.653748,2219,5226.886631
-123.567421,2252,5331.485129
-166.474867,2308,5444.623776
-237.643341,2487,5564.263915
-110.562222,2192,5660.813362
-205.636607,2354,5773.043536
-185.303464,2285,5880.519383
-174.430102,2255,5976.082273
-134.182979,2299,6079.999151
-171.042985,2249,6181.576797
-162.718365,2185,6278.905468--151.987,2211,6370.894098
-172.800821,2104,6452.934402
-174.906513,2277,6516.67813
-157.530091,2219,6624.310557
-154.137251,2132,6721.968441
-146.958484,2245,6810.711681
--144.52236,2312,6912.994388
-162.152431,2270,7027.862418
-146.62271,2283,7137.141491
-1061.849802,1028,7182.76988
-135.43334,2272,7293.513465
-157.394495,2353,7404.688142
-153.078457,2302,7507.411005
-254.025839,2150,7599.603942
-159.430033,2348,7712.560295
-117.272313,2130,7817.328348
-188.740103,2336,7916.397191
-642.068448,2154,8013.565697
-1018.548809,896,8049.83021
-165.095258,2171,8147.507439
-170.967945,2331,8254.179646
-188.687101,2417,8361.183548
-115.014232,2141,8460.7796
-150.867019,2106,8555.286464
-154.480668,2264,8660.109948
.782757
-169.208143,2404,8676.688058
431266,2245,8637.798121
39.112768,2217,8462.538355
-1043.834867,1065,8519.970518
-155.174278,2318,8625.958864
