,Time,$N$,$E$,$D$,$\phi$,$\theta$,$\psi$,$u$,$v$,$w$,$p$,$q$,$r$,$\eta$,$\delta_r$,$\delta_s$,$\tilde{u}$,$\tilde{\chi}$,e,$\tilde{\upsilon}$,h,$u_c$,$v_c$,$w_c$
0,0.1,-1.1928930271431282,0.5223973308836447,2.0974697172648393,0.0,-0.4508168711813285,-0.7484724214944425,0.07095007881329335,0.0,-0.0026354712954366807,0.0,0.0350682533969089,0.0,14.0,0.021411177982140324,-0.007576579518758155,0.75,0.1885304844728538,-0.47240690105736644,-0.0748263655512774,2.4856091440238677,-0.17182982686695333,0.43394852148519325,-0.619698691619944
1,0.2,-1.150147522056792,0.5419205444251095,2.0370592504425273,0.0,-0.44731004584163747,-0.7484724214944425,0.14114751312016938,1.0191455831905475e-05,-0.0061680176291693395,4.336789715704456e-05,0.05014568122930346,-7.445890825448418e-05,14.0,0.03520518902960271,-0.02076305065741668,0.7145249605933534,0.3294094640682158,-0.42901204615687133,0.21833311771963196,2.423639275215148,-0.17182808389996607,0.43394411970023583,-0.6196924056660951
2,0.30000000000000004,-1.102612857767643,0.5570466376859705,1.9792910228103844,7.908894254171628e-06,-0.4422954777187069,-0.7484806798974972,0.21042608137300495,5.631925235967045e-05,-0.009764131749572209,0.00020452474682129486,0.0547850713391553,-0.0003962299813112867,14.0,0.04310213814390465,0.002820570641951176,0.6794262434399153,0.29679516683748786,-0.3856176329570885,0.20619858294509066,2.361406487617332,-0.1697954131367652,0.43430613916781324,-0.6208086452507153
3,0.4,-1.0503066408576267,0.5678216313016827,1.924018337978318,4.7105817405856953e-05,-0.4368169702715887,-0.7485244737847663,0.2786349465825333,0.00015800563078342686,-0.013055831658213867,0.00042761905690401434,0.054459289720311214,-0.0010531251064836125,14.0,0.04665266132087971,0.01770218275335105,0.6447869593134975,0.268192380394798,-0.342186000406494,0.19248734763602862,2.2987192530423712,-0.16689261306990663,0.43484717219817587,-0.6224342869464597
4,0.5,-0.9933203513910773,0.5742793623879928,1.8712082545071653,0.00013891813056154945,-0.43137103634476803,-0.7486404164450811,0.3456416334912796,0.0003252252048790749,-0.015915129373854253,0.0005350025475011886,0.051894273440092065,-0.002034605777996551,14.0,0.04755342584045178,0.026585884729259004,0.6106825267087334,0.24401575223538785,-0.2986954098645651,0.17807401479479532,2.2354647975422437,-0.1635442352808011,0.4349523819004488,-0.6235268560205661
5,0.6000000000000001,-0.9316950590308072,0.5765094897671231,1.8207317810373906,0.00028573570070022924,-0.4261815807864693,-0.7488636013353895,0.41133091877646843,0.000561621479601497,-0.018320434981111706,0.00033864454253447235,0.04840045549608176,-0.003276609197897017,14.0,0.04698965298630024,0.031276971003429,0.5771791832543602,0.22389433401667125,-0.2551833144911024,0.1636254722430582,2.1716527093372804,-0.16036297818399997,0.435372424688226,-0.6250933166089034
6,0.7000000000000001,-0.8654911818178748,0.5746068246492148,1.7724785643880898,0.0004677327901565498,-0.4213414418100223,-0.7492219315838069,0.4756026366056581,0.0008683918166292072,-0.020291833483388578,-0.0002537777557328367,0.044635947413846085,-0.004706441634845248,14.0,0.04573738254910738,0.033019529789379096,0.5443345406117658,0.20753196091379256,-0.21161197388602343,0.14989946198487972,2.1072065794666583,-0.15747009710830484,0.4360382066336154,-0.6269933757121854
7,0.8,-0.7949064911241689,0.5685928747346757,1.7265532924417666,0.000652353755005386,-0.41687762742119716,-0.7497353948415326,0.538370133420629,0.0012467198423095727,-0.021863097996263597,-0.001201250160507488,0.040961023410916425,-0.006270397802458789,14.0,0.04428826344153847,0.032734150892330366,0.512198681697171,0.19435978772331802,-0.16795303638870251,0.13732588745525137,2.0420744801871793,-0.15442040135236706,0.4355241750656565,-0.627128567069478
8,0.9,-0.7200203069015612,0.5585744355333563,1.682850329383956,0.0008087190963927959,-0.4127811168999589,-0.7504182430983577,0.599559381913037,0.001698421410628164,-0.023070809876136446,-0.0023659464812478487,0.0375850584434844,-0.007941737437082078,14.0,0.0429234679896386,0.031128084876811495,0.4808149332896855,0.18343775140809518,-0.12432532271953378,0.12569644404955266,1.976420156397798,-0.1517723216391048,0.43531608602711286,-0.6275835261428392
9,1.0,-0.640880368316331,0.5446866850501567,1.6411994381544717,0.0009185949745011968,-0.40902197002128915,-0.7512819182035528,0.6591082282970631,0.002225217211800239,-0.023949055945981672,-0.0035893836126361864,0.034638540237905135,-0.009713503291980067,14.0,0.04176469502061661,0.028654186090429513,0.4502203090434815,0.17473794688009694,-0.08070456215025712,0.11554470403281293,1.91020551422391,-0.14967763703764675,0.4358894886645864,-0.6290049985086514
